"Residencia","Peso","Frecuencia"
"Santa Cruz","Menosde500",3
"Santa Cruz","500_999",22
"Santa Cruz","1000_1499",31
"Santa Cruz","1500_1999",66
"Santa Cruz","2000_2499",213
"Santa Cruz","2500_2999",902
"Santa Cruz","3000_3499",2426
"Santa Cruz","3500ymás",2434
"Tierra del Fuego","Menosde500",1
"Tierra del Fuego","500_999",13
"Tierra del Fuego","1000_1499",21
"Tierra del Fuego","1500_1999",35
"Tierra del Fuego","2000_2499",139
"Tierra del Fuego","2500_2999",455
"Tierra del Fuego","3000_3499",1224
"Tierra del Fuego","3500ymás",1148
